Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Trading platforms,Types of investment,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
680fb1ccd34893bb9a111a17,5d8e154af2858200171fdb95,APPROVED,Not Applicable,2025-04-28T16:50:24.078000Z,2025-04-28T16:58:47.955000Z,2025-04-29T13:58:50.461000Z,2025-04-28T16:58:49.535616Z,504.0,CGX67X8D,3307,"AJ Bell Youinvest, Hargreaves Lansdown","ETF or ETC, Government Bonds, Stock Market, Options, Private Equity fund, Crowdfunding",39,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
680fb2c4b8597e190ecede9c,67d2afd34b4d98df4a4832e3,APPROVED,Not Applicable,2025-04-28T16:54:34.346000Z,2025-04-28T17:17:14.789000Z,2025-04-29T13:58:50.790000Z,2025-04-28T17:17:15.269335Z,1361.0,CGX67X8D,271,"Capital.com, CMC Markets, Ayondo, Ally Invest, E*Trade","Government Bonds, Stock Market, Private Equity fund, Crowdfunding",54,Male,Black,Kenya,United States,United States,English,No,Part-Time
680fb311bb853d84c773d398,66f8522292767238ed42ebbd,APPROVED,Not Applicable,2025-04-28T17:00:03.563000Z,2025-04-28T17:18:35.651000Z,2025-04-29T13:58:51.079000Z,2025-04-28T17:18:36.222107Z,1113.0,CGX67X8D,1112,Robinhood,"Government Bonds, Stock Market",48,Male,White,United States,United States,United States,English,Yes,Full-Time
680fb3cc002f7881a1acc33a,5edabd929d0c9370d88ed85a,APPROVED,Not Applicable,2025-04-28T16:58:58.559000Z,2025-04-28T17:11:01.938000Z,2025-04-29T13:58:51.362000Z,2025-04-28T17:11:02.459181Z,724.0,CGX67X8D,2072,Other platform not listed,"Stock Market, Options",42,Male,White,United States,United States,United States,English,No,Full-Time
680fbb5b529b15af1994e9be,6658b30b8d0e10079cbc172a,APPROVED,Not Applicable,2025-04-28T17:31:12.625000Z,2025-04-28T17:38:19.418000Z,2025-04-29T13:58:51.654000Z,2025-04-28T17:38:20.090556Z,427.0,CGX67X8D,755,"FXCM, Freetrade, Trading212","Venture Capital fund, Private Equity fund, Crowdfunding, Stock Market, ETF or ETC",37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
680fbb5d46ea3fda0246d158,60fd6618f9a377f54dcdf318,APPROVED,Not Applicable,2025-04-28T17:31:16.454000Z,2025-04-28T17:37:19.414000Z,2025-04-29T13:58:52.589000Z,2025-04-28T17:37:20.041214Z,363.0,CGX67X8D,9498,Fidelity,Stock Market,39,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
680fbb762e669372d6af1af1,6734f1a1bb7c7049f1af7029,APPROVED,Not Applicable,2025-04-28T17:31:49.625000Z,2025-04-28T18:01:28.938000Z,2025-04-29T13:58:52.851000Z,2025-04-28T18:01:29.446330Z,1780.0,CGX67X8D,571,"AJ Bell Youinvest, Fidelity, Revolut","Venture Capital fund, Stock Market",33,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
680fbbc487be6c19c933344f,67c758c1c0984b56a597d24d,APPROVED,Not Applicable,2025-04-28T17:33:55.348000Z,2025-04-28T17:51:26.077000Z,2025-04-29T13:58:53.145000Z,2025-04-28T17:51:26.629341Z,1051.0,CGX67X8D,301,"Capital.com, CMC Markets, City Index, E*Trade, Interactive Brokers","Government Bonds, Stock Market, Unit trusts, Angel syndicate, ETF or ETC, Private Equity fund, Venture Capital fund, Crowdfunding, Other",42,Female,Black,United States,United States,United States,English,Yes,Part-Time
680fbbd48867c4f913ec1fad,672e22142aab65aaeec4135f,APPROVED,Not Applicable,2025-04-28T17:33:17.202000Z,2025-04-28T17:57:11.226000Z,2025-04-29T13:58:53.431000Z,2025-04-28T17:57:11.718090Z,1435.0,CGX67X8D,299,CMC Markets,Stock Market,30,Male,Black,Nigeria,United Kingdom,United Kingdom,English,Yes,Full-Time
680fbc4ef3c215d5618954d0,66311db2f9d3b238692d2972,APPROVED,Not Applicable,2025-04-28T17:35:15.157000Z,2025-04-28T17:45:02.557000Z,2025-04-29T13:58:53.750000Z,2025-04-28T17:45:03.104780Z,588.0,CGX67X8D,1688,Fidelity,Stock Market,39,Female,Other,United States,United States,United States,English,Yes,Full-Time
