Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Trading platforms,Types of investment,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
680fb1d3686ab6ae8846d9c4,672b453dd948e9f8124c3c2d,APPROVED,Not Applicable,2025-04-28T16:51:51.736000Z,2025-04-28T17:07:27.717000Z,2025-04-29T14:01:12.592000Z,2025-04-28T17:07:28.283342Z,936.0,CGX67X8D,406,"Pepperstone, Interactive Brokers",Stock Market,24,Female,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
680fb245c48f5447226f50c5,67d9a819e3c4ebf34af45afd,APPROVED,Not Applicable,2025-04-28T16:52:26.514000Z,2025-04-28T17:28:25.111000Z,2025-04-29T14:01:12.905000Z,2025-04-28T17:28:25.688355Z,2159.0,CGX67X8D,466,TD Ameritrade,"Government Bonds, Stock Market",45,Female,Black,United States,United States,United States,English,No,Full-Time
680fb3ad43ed00931f57267e,646c323d73a3844a4331e09b,APPROVED,Not Applicable,2025-04-28T16:58:27.724000Z,2025-04-28T17:04:45.625000Z,2025-04-29T14:01:13.194000Z,2025-04-28T17:04:46.265504Z,378.0,CGX67X8D,2555,TD Ameritrade,"Stock Market, Crowdfunding",60,Male,White,United States,United States,United States,English,No,Full-Time
680fb4c5df38274a47352abd,67f0efad529886aa3bddf5b7,APPROVED,Not Applicable,2025-04-28T17:11:49.840000Z,2025-04-28T17:38:13.650000Z,2025-04-29T14:01:13.524000Z,2025-04-28T17:38:14.140272Z,1584.0,CGX67X8D,133,"FXCM, Revolut, Trading212","Stock Market, Private Equity fund, Crowdfunding",53,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
680fb76b2fbfe7ec641a41b1,66045b87ffe71e6e521f357d,APPROVED,Not Applicable,2025-04-28T17:14:23.766000Z,2025-04-28T17:24:38.053000Z,2025-04-29T14:01:13.827000Z,2025-04-28T17:24:38.631604Z,615.0,CGX67X8D,519,"Ally Invest, E*Trade, Robinhood, Other platform not listed","Government Bonds, Stock Market, Crowdfunding, Private Equity fund",53,Male,Mixed,United States,United States,United States,English,Yes,Full-Time
680fbb653e6bbcfbb9fa69bb,62e0532289a4e5d9fedadde1,APPROVED,Not Applicable,2025-04-28T17:31:22.239000Z,2025-04-28T17:45:51.846000Z,2025-04-29T14:01:14.184000Z,2025-04-28T17:45:52.350437Z,870.0,CGX67X8D,7594,Fidelity,Stock Market,42,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
680fbb65da79c0e4d5c42cab,67e28cfbd3b9caaf6d72dcd6,APPROVED,Not Applicable,2025-04-28T17:31:22.099000Z,2025-04-28T17:51:41.841000Z,2025-04-29T14:01:14.463000Z,2025-04-28T17:51:42.350382Z,1220.0,CGX67X8D,216,Capital.com,"Stock Market, Private Equity fund, ETF or ETC",48,Female,Black,United States,United States,United States,English,No,Full-Time
680fbb6f71a560776b2dad1d,67ca11d4a3397b2014be56b4,APPROVED,Not Applicable,2025-04-28T17:31:35.212000Z,2025-04-28T17:50:09.077000Z,2025-04-29T14:01:14.764000Z,2025-04-28T17:50:09.544360Z,1114.0,CGX67X8D,509,"Robinhood, WeBull","Stock Market, Crowdfunding, Government Bonds",50,Female,White,United States,United States,United States,English,No,Part-Time
680fbbb458e5b3315eacc432,5e4a9e0ade1012000aa3de0e,APPROVED,Not Applicable,2025-04-28T17:33:17.818000Z,2025-04-28T18:02:42.372000Z,2025-04-29T14:01:15.030000Z,2025-04-28T18:02:42.920892Z,1765.0,CGX67X8D,704,Other platform not listed,"Crowdfunding, Venture Capital fund, Angel syndicate, Stock Market, Other",39,Male,Black,Nigeria,United Kingdom,United Kingdom,Afrikaans,DATA_EXPIRED,DATA_EXPIRED
680fbbe721f6cb84508b6d26,67d7d3d51a5476f5196bab78,APPROVED,Not Applicable,2025-04-28T17:34:17.200000Z,2025-04-28T17:58:22.474000Z,2025-04-29T14:01:15.320000Z,2025-04-28T17:58:23.160369Z,1446.0,CGX67X8D,283,"Capital.com, AJ Bell Youinvest, Ally Invest, Dodl, Fidelity","Stock Market, Government Bonds, Crowdfunding",27,Male,Black,United States,United States,United States,English,No,Full-Time
680fbbf7a2b8337ed06c95e8,67ecd9cb2c922a626fe58e4e,APPROVED,Not Applicable,2025-04-28T17:33:59.487000Z,2025-04-28T17:55:23.767000Z,2025-04-29T14:01:15.624000Z,2025-04-28T17:55:24.280383Z,1285.0,CGX67X8D,220,"eToro, Acorns, AJ Bell Youinvest, Capital.com, Vantage FX","ETF or ETC, Government Bonds, Stock Market, Angel syndicate, Unit trusts, Options, Private Equity fund, Venture Capital fund, Crowdfunding",40,Male,White,United States,United States,United States,English,No,Full-Time
680fbc32a879c5421c9d0fd2,67e9e0449a506867ccbac8cd,APPROVED,Not Applicable,2025-04-28T17:38:33.240000Z,2025-04-28T18:16:09.402000Z,2025-04-29T14:01:15.887000Z,2025-04-28T18:16:09.881979Z,2257.0,CGX67X8D,130,"Capital.com, Revolut, Robinhood","Stock Market, Private Equity fund",52,Male,White,United States,United States,United States,English,No,Full-Time
