Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Trading platforms,Types of investment,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
680fd1a5280c12c90c7c1c67,680d69405e7c4e28d4809717,APPROVED,Not Applicable,2025-04-28T19:06:30.112000Z,2025-04-28T19:39:19.770000Z,2025-04-28T20:56:03.658000Z,2025-04-28T19:39:20.274452Z,1970.0,CGX67X8D,5,"Acorns, AJ Bell Youinvest, Ally Invest, Ayondo, Capital.com","ETF or ETC, Government Bonds, Stock Market, Unit trusts, Angel syndicate, Options, Private Equity fund",25,Female,Black,United States,United States,United States,English,No,Full-Time
680fd2fda8d3c640178150d9,67c785504b8ce5233217d7aa,APPROVED,Not Applicable,2025-04-28T19:12:05.462000Z,2025-04-28T19:31:53.623000Z,2025-04-28T20:56:03.992000Z,2025-04-28T19:31:54.201053Z,1189.0,CGX67X8D,295,"WeBull, Robinhood",Stock Market,60,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
680fd34eda35940202ea61b2,6752b9e2aedb433712d10e46,APPROVED,Not Applicable,2025-04-28T19:13:23.086000Z,2025-04-28T19:19:43.281000Z,2025-04-28T20:56:04.382000Z,2025-04-28T19:19:43.817642Z,381.0,CGX67X8D,314,Hargreaves Lansdown,"ETF or ETC, Stock Market",34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
680fd39d2d4009f61ea340b2,637545d6428d85daeedc3df5,APPROVED,Not Applicable,2025-04-28T19:14:41.990000Z,2025-04-28T19:24:53.188000Z,2025-04-28T20:56:04.774000Z,2025-04-28T19:24:53.695599Z,612.0,CGX67X8D,3113,eToro,Stock Market,51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
680fd5b97c939a0b6899a506,67e9728e0e7390c9a1ad6a7a,APPROVED,Not Applicable,2025-04-28T19:23:45.252000Z,2025-04-28T19:40:34.041000Z,2025-04-28T20:56:05.090000Z,2025-04-28T19:40:34.849519Z,1009.0,CGX67X8D,311,"AJ Bell Youinvest, Ayondo, Capital.com, CMC Markets, Freetrade","Government Bonds, ETF or ETC, Stock Market, Unit trusts, Options, Private Equity fund, Venture Capital fund, Crowdfunding",51,Female,Black,United States,United States,United States,English,No,Full-Time
680fda45d0b2fc0dd194c693,65a29d6b297bacfcc92dba8e,APPROVED,Not Applicable,2025-04-28T19:43:11.689000Z,2025-04-28T19:57:31.887000Z,2025-04-28T20:56:05.412000Z,2025-04-28T19:57:32.415363Z,861.0,CGX67X8D,174,"eToro, Robinhood, Revolut, Trading212","Venture Capital fund, Crowdfunding, Private Equity fund, Stock Market, Government Bonds, ETF or ETC",29,Male,Mixed,Uzbekistan,United Kingdom,Uzbekistan,English,No,Full-Time
680fda47a8112938c5f1c858,67d3047928d1b4f6d6f90ca2,RETURNED,Not Applicable,2025-04-28T19:43:09.923000Z,,,2025-04-28T20:59:59.563088Z,,,429,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
680fda4b111a90f0c10ad142,5e32f34f2a574a01ebf984ab,APPROVED,Not Applicable,2025-04-28T19:43:12.703000Z,2025-04-28T19:55:27.100000Z,2025-04-28T20:56:05.808000Z,2025-04-28T19:55:27.671539Z,735.0,CGX67X8D,2118,"Robinhood, Tradency, TD Ameritrade","ETF or ETC, Stock Market",40,Male,White,United States,United States,United States,English,No,Full-Time
680fdaa58fb6589b3534369d,5fb3d71c3144730009fe4a7b,APPROVED,Not Applicable,2025-04-28T19:44:41.957000Z,2025-04-28T20:04:22.482000Z,2025-04-28T20:56:06.144000Z,2025-04-28T20:04:23.128741Z,1181.0,CGX67X8D,7644,Robinhood,Stock Market,55,Female,Black,United States,United States,United States,English,No,DATA_EXPIRED
680fdac7a157bbcd31f0a143,67e1d21042c9b3507f791a2f,APPROVED,Not Applicable,2025-04-28T19:45:21.386000Z,2025-04-28T20:03:34.662000Z,2025-04-28T20:56:06.501000Z,2025-04-28T20:03:35.162730Z,1094.0,CGX67X8D,144,Capital.com,"Stock Market, Private Equity fund",36,Female,Black,United States,United States,United States,English,Yes,Part-Time
