Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Trading platforms,Types of investment,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
680fd1712db0721af6a134e3,66491cdd1a4db900e216feb1,APPROVED,Not Applicable,2025-04-28T19:05:26.289000Z,2025-04-28T19:20:07.881000Z,2025-04-28T21:10:35.200000Z,2025-04-28T19:20:08.472892Z,882.0,CGX67X8D,1778,"Ally Invest, Fidelity","Stock Market, Private Equity fund",36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
680fd1ec3c3a1420cf37930a,671c060104c301eb142661a4,APPROVED,Not Applicable,2025-04-28T19:07:31.783000Z,2025-04-28T19:22:39.490000Z,2025-04-28T21:10:35.682000Z,2025-04-28T19:22:40.010349Z,908.0,CGX67X8D,302,Capital.com,Stock Market,33,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
680fd20cb63ae95152688d05,67e83f5e6f0a182bd24bc69a,APPROVED,Not Applicable,2025-04-28T19:10:14.355000Z,2025-04-28T19:34:24.114000Z,2025-04-28T21:10:36.054000Z,2025-04-28T19:34:24.830614Z,1450.0,CGX67X8D,139,Robinhood,Stock Market,76,Male,White,United States,United States,United States,English,No,Part-Time
680fd25ce81ce755d786e8b0,67d1d9e205762736c05ee22d,APPROVED,Not Applicable,2025-04-28T19:09:26.269000Z,2025-04-28T19:31:10.855000Z,2025-04-28T21:10:36.386000Z,2025-04-28T19:31:11.336423Z,1305.0,CGX67X8D,415,Capital.com,"Government Bonds, Stock Market",36,Male,Black,United States,United States,United States,English,Yes,Full-Time
680fd2afeb658836206466bc,6711572aa22f0638a3f67bd6,APPROVED,Not Applicable,2025-04-28T19:10:39.950000Z,2025-04-28T19:26:43.790000Z,2025-04-28T21:10:36.729000Z,2025-04-28T19:26:44.303052Z,964.0,CGX67X8D,418,"Robinhood, Revolut, eToro",Stock Market,35,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
680fda53497803412d68c59f,67ccafbbb8c87ce9640349b1,APPROVED,Not Applicable,2025-04-28T19:43:33.618000Z,2025-04-28T20:09:25.207000Z,2025-04-28T21:10:37.102000Z,2025-04-28T20:09:25.705084Z,1552.0,CGX67X8D,262,"Robinhood, Fidelity","Stock Market, ETF or ETC",42,Female,White,United States,United States,United States,English,No,Full-Time
680fda552ca238725f6cc4ed,66d4407f31981698998d25d8,APPROVED,Not Applicable,2025-04-28T19:50:57.546000Z,2025-04-28T20:10:01.969000Z,2025-04-28T21:10:37.443000Z,2025-04-28T20:10:02.447056Z,1145.0,CGX67X8D,859,Other platform not listed,"Stock Market, Crowdfunding",36,Male,Black,Germany,United Kingdom,Canada,English,Yes,Full-Time
680fda55743646271f3fd4b4,675b4c06185c17ba72a17de6,APPROVED,Not Applicable,2025-04-28T19:44:27Z,2025-04-28T19:51:19.069000Z,2025-04-28T21:10:37.776000Z,2025-04-28T19:51:19.499370Z,413.0,CGX67X8D,73,Trading212,"ETF or ETC, Stock Market, Government Bonds, Crowdfunding",31,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
680fda67152bc44887f5ea89,670d2513894d1c633eeb11a6,APPROVED,Not Applicable,2025-04-28T19:43:35.367000Z,2025-04-28T20:23:14.015000Z,2025-04-28T21:10:38.116000Z,2025-04-28T20:23:14.577084Z,2379.0,CGX67X8D,590,Other platform not listed,"Stock Market, Crowdfunding",27,Male,Black,Sierra Leone,United Kingdom,Sierra Leone,English,Yes,Part-Time
680fda6ffdc906d303add2b8,62916bb383e38e21d42cef2b,APPROVED,Not Applicable,2025-04-28T19:45:56.172000Z,2025-04-28T19:54:43.908000Z,2025-04-28T21:10:38.682000Z,2025-04-28T19:54:44.412124Z,528.0,CGX67X8D,672,Robinhood,"ETF or ETC, Stock Market",34,Male,White,United States,United States,United States,English,No,Full-Time
680fda752740800aff60b983,67269f439696d166fbb74e09,APPROVED,Not Applicable,2025-04-28T19:43:49.012000Z,2025-04-28T20:22:34.498000Z,2025-04-28T21:10:40.566000Z,2025-04-28T20:22:35.022386Z,2326.0,CGX67X8D,575,"Capital.com, E*Trade, eToro, FXCM, Revolut","Stock Market, Government Bonds, Angel syndicate, Venture Capital fund, Private Equity fund, Crowdfunding",23,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
680fda8b05076d7c8dc4d0b5,67d95e6c11829c52f8c6dbf9,APPROVED,Not Applicable,2025-04-28T19:44:28.409000Z,2025-04-28T20:16:16.347000Z,2025-04-28T21:10:41.207000Z,2025-04-28T20:16:16.871867Z,1908.0,CGX67X8D,138,CMC Markets,"ETF or ETC, Government Bonds, Stock Market, Crowdfunding",51,Female,White,United Kingdom,United States,United Kingdom,English,No,Part-Time
680fdaada8d5e17d80fe96fe,674cf1b47d6743e2ea091d98,APPROVED,Not Applicable,2025-04-28T19:44:45.519000Z,2025-04-28T20:15:11.973000Z,2025-04-28T21:10:41.684000Z,2025-04-28T20:23:08.464387Z,1827.0,NOCODE,463,E*Trade,"Stock Market, Government Bonds, Angel syndicate, Private Equity fund, Venture Capital fund, Crowdfunding",41,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
680fdac85817579479ebd102,67744dd5d793cc3d79ba38fc,APPROVED,Not Applicable,2025-04-28T19:45:20.040000Z,2025-04-28T20:09:48.284000Z,2025-04-28T21:10:42.052000Z,2025-04-28T20:09:48.794315Z,1469.0,CGX67X8D,520,"eToro, Hargreaves Lansdown","Stock Market, Private Equity fund",51,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
680fdac914bbd82e8433b9df,654cec9d03f822b4b2b4133a,APPROVED,Not Applicable,2025-04-28T19:45:17.210000Z,2025-04-28T19:50:18.929000Z,2025-04-28T21:10:42.455000Z,2025-04-28T19:50:19.521960Z,302.0,CGX67X8D,669,Revolut,Stock Market,31,Male,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
680fdb43cba0901da2c76f7e,67e3f310e2ed4df9e5771e9d,APPROVED,Not Applicable,2025-04-28T19:47:22.771000Z,2025-04-28T20:14:40.509000Z,2025-04-28T21:10:42.959000Z,2025-04-28T20:14:40.966990Z,1638.0,CGX67X8D,240,"CMC Markets, ZuluTrade, Revolut, Plus500","ETF or ETC, Government Bonds, Stock Market, Private Equity fund, Venture Capital fund, Crowdfunding",70,Female,White,United States,United States,United States,English,No,Other
680fdc752fd2526f32752b95,67d28ade0222c890b1785c91,APPROVED,Not Applicable,2025-04-28T19:52:21.720000Z,2025-04-28T20:23:56.664000Z,2025-04-28T21:10:43.995000Z,2025-04-28T20:23:57.175106Z,1895.0,CGX67X8D,423,"CMC Markets, Capital.com, AJ Bell Youinvest","Stock Market, Government Bonds",56,Male,White,United States,United States,United States,English,No,Full-Time
680fdff808551a593989de1a,64623fb9c31bd4da22cb60fd,APPROVED,Not Applicable,2025-04-28T20:07:20.239000Z,2025-04-28T20:20:24.121000Z,2025-04-28T21:10:44.560000Z,2025-04-28T20:20:24.632675Z,784.0,CGX67X8D,1502,"Trading212, Interactive Brokers","Government Bonds, Stock Market, ETF or ETC, Options",51,Male,Asian,Hong Kong,United Kingdom,United Kingdom,Chinese,No,Full-Time
680fe24a6c3c94bd6cb941a2,60e5cb4ca01a593fce9a379d,APPROVED,Not Applicable,2025-04-28T20:17:18.726000Z,2025-04-28T20:46:42.641000Z,2025-04-28T21:13:30.123000Z,2025-04-28T20:46:43.412058Z,1764.0,CGX67X8D,3492,"Stash, WeBull, Robinhood","Stock Market, Government Bonds, ETF or ETC",34,Male,Asian,India,United States,India,Telugu,No,Full-Time
680ff3e20e58b70bc7fb22bb,66a337531d9c242e4a71267a,APPROVED,Not Applicable,2025-04-28T21:32:24.999000Z,2025-04-28T21:50:21.406000Z,2025-04-29T14:07:52.256000Z,2025-04-28T21:50:22.050153Z,1077.0,CGX67X8D,681,"Capital.com, E*Trade, Plus500","Stock Market, Private Equity fund, Venture Capital fund, Crowdfunding, Government Bonds",26,Male,Black,South Sudan,United States,United States,English,Yes,Full-Time
680fd1c7966e36a7974ef546,66904bbd1eb9bb790b9b0f6f,RETURNED,Not Applicable,2025-04-28T19:16:47.635000Z,,,,,,827,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
680fdad3b63ae95152689239,67e849e779ede71eb8518d6f,RETURNED,Not Applicable,2025-04-28T19:45:39.870000Z,,,,,,197,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
680fdc3bb1491e432658dd89,67e29ddb184691951bd69ce0,APPROVED,Not Applicable,2025-04-28T19:51:39.279000Z,2025-04-28T20:44:30.958000Z,2025-04-29T14:12:37.877000Z,2025-04-28T20:44:32.105000Z,3172.0,NOCODE,243,Other platform not listed,Stock Market,27,Female,Black,United States,United States,United States,English,Yes,Part-Time
680fefbee2c003ce035bc9b3,60643e9b1b2e851ff9238862,RETURNED,Not Applicable,2025-04-28T21:14:42.625000Z,,,,,,3631,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
680ff0cdceb29f77d55e2621,67cfbb1905a3cee07823adec,RETURNED,Not Applicable,2025-04-28T21:19:17.217000Z,,,,,,424,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
