ongoingReturn,Rank,ResponseId,gainAll,returnAll,pathseries,r,stg,p,a,c,path,portfolio,unrealized,PlayerName,riskRelative,risk,riskRelativeAvg,phase,gain,phaseReturn,wealthALL,Treatment,roundSeries,priceSeries,assetsSeries,ongoingReturnSeries,phaseWealth,GainCalc,realizedReturnCalc,currWealth,a_diff
0.0,5,CRRA_-1,,,4,0,0,250.0,10.0,0.0,path31,0.0,2500.0,Player 5,,,,regular,,,,,,,,,,0.0,,2500.0,10.0
0.0,4,CRRA_0,,,4,0,0,250.0,10.0,0.0,path31,0.0,2500.0,Player 4,,,,regular,,,,,,,,,,0.0,,2500.0,10.0
0.0,3,CRRA_1,,,4,0,0,250.0,0.0,2500.0,path31,0,0.0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,2,CRRA_3,,,4,0,0,250.0,0.0,2500.0,path31,0,0.0,Player 2,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,1,CRRA_6,,,4,0,0,250.0,0.0,2500.0,path31,0,0.0,Player 1,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
-4.0000000000000036,5,CRRA_-1,,,4,1,0,235.0,10.0,50.0,path31,6.382978723404253,2500.0,Player 5,,,,regular,,,,,,,,,,-100.0,,2400.0,0.0
-4.0000000000000036,4,CRRA_0,,,4,1,0,235.0,0.0,2400.0,path31,0,0,Player 4,,,,regular,,,,,,,,,,-100.0,,2400.0,-10.0
0.0,3,CRRA_1,,,4,1,0,235.0,0.0,2500.0,path31,0,0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,2,CRRA_3,,,4,1,0,235.0,0.0,2500.0,path31,0,0,Player 2,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
0.0,1,CRRA_6,,,4,1,0,235.0,0.0,2500.0,path31,0,0,Player 1,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
-6.000000000000005,5,CRRA_-1,,,4,2,0,245.0,10.0,-100.0,path31,2.0408163265306145,2500.0,Player 5,,,,regular,,,,,,,,,,-150.0,,2350.0,0.0
-4.0000000000000036,4,CRRA_0,,,4,2,0,245.0,0.0,2400.0,path31,0,0,Player 4,,,,regular,,,,,,,,,,-100.0,,2400.0,0.0
0.0,3,CRRA_1,,,4,2,0,245.0,0.0,2500.0,path31,0,0,Player 3,,,,regular,,,,,,,,,,0.0,,2500.0,0.0
